Brand,Model,Year,Transmission,CC,main_type,type_tags,price_olx,price_csu,price_kkb_att,price_kkb_curr,price_lelang,units_csu,units_kkb_att,units_kkb_curr,units_lelang,units_olx,Original_String
aston martin,vanquish,2014,automatic,5.9,,,2575000000.0,,,,,0,0,0,0,1,['aston martin vanquish automatic 5.9 s the ultime super gt bensin at 2014']
aston martin,vantage,2010,automatic,5.9,,,2100000000.0,,,,,0,0,0,0,1,['aston martin vantage automatic 5.9 v12 s pure performance bensin at 2010']
aston martin,vantage,2019,automatic,5.9,,,4850000000.0,,,,,0,0,0,0,1,['aston martin vantage automatic 5.9 v12 s pure performance bensin at 2019']
aston martin,vantage,2019,manual,4.7,,v8,4129000000.0,,,,,0,0,0,0,4,['aston martin vantage manual 4.7 v8 s race bred dynamism bensin mt 2019']
audi,a3,2017,automatic,1.2,,tfsi,400000000.0,,,,,0,0,0,0,1,['audi a3 automatic 1.2 tfsi sportback bensin at 2017']
audi,a4,2012,automatic,1.8,,,140000000.0,,516200000.0,,,0,5,5,0,2,"['a4 1.8 automatic 2012', 'audi a4 automatic 1.8 a vt st bensin at 2012', 'audi a4 automatic 1.8 t bensin at 2012']"
audi,a4,2012,automatic,2.0,,,169000000.0,,650000000.0,,,0,0,0,0,7,['audi a4 automatic 2.0 s line bensin at 2012']
audi,a4,2015,automatic,2.0,,,280000000.0,,800000000.0,,,0,0,0,0,1,['audi a4 automatic 2.0 s line bensin at 2015']
audi,a4,2013,automatic,1.8,,,155000000.0,,544166666.67,,,0,9,9,0,1,"['a4 1.8 automatic 2013', 'audi a4 automatic 1.8 t bensin at 2013']"
audi,a4,2012,automatic,1.8,,tfsi,139500000.0,,509535312.5,,,0,0,0,0,3,"['audi a4 automatic 1.8 tfsi bensin at 2012', 'audi a4 automatic 1.8 tfsi pi bensin at 2012']"
audi,a4,2013,automatic,1.8,,tfsi,167000000.0,,513666666.67,,,0,0,0,0,3,"['audi a4 automatic 1.8 tfsi bensin at 2013', 'audi a4 automatic 1.8 tfsi pi bensin at 2013']"
audi,a4,2015,automatic,1.8,,tfsi,125000000.0,,500000000.0,,,0,0,0,0,1,['audi a4 automatic 1.8 tfsi bensin at 2015']
