Brand,Model,Year,Transmission,CC,main_type,type_tags,price_olx,price_csu,price_kkb_att,price_kkb_curr,price_lelang,units_csu,units_kkb_att,units_kkb_curr,units_lelang,units_olx,Original_String
aion,hyptech ht,2025,automatic,,,,553000000.0,,,,,0,0,0,0,13,['aion hyptech ht automatic premium listrik at 2025']
aion,hyptech ht,2026,automatic,,,,530000000.0,,,,,0,0,0,0,1,['aion hyptech ht automatic premium listrik at 2026']
aion,ut,2025,automatic,,,,315000000.0,,,,,0,0,0,0,2,['aion ut automatic premium listrik at 2025']
aion,ut,2026,automatic,,,,340000000.0,,,,,0,0,0,0,4,['aion ut automatic premium listrik at 2026']
aion,v,2025,automatic,,,,410000000.0,,,,,0,0,0,0,3,['aion v automatic v luxury listrik at 2025']
aion,v,2026,automatic,,,,450000000.0,,,,,0,0,0,0,1,['aion v automatic v luxury listrik at 2026']
aion,y,2024,automatic,,,,306000000.0,,,,,0,0,0,0,6,['aion y automatic y plus exclusive listrik at 2024']
aston martin,vanquish,2014,automatic,,,,2575000000.0,,,,,0,0,0,0,1,['aston martin vanquish automatic 5.9 s the ultimate super gt bensin at 2014']
aston martin,vanquish,2013,automatic,,,,2575000000.0,,,,,0,0,0,0,1,['aston martin vanquish automatic 5.9 ultimate gt bensin at 2013']
aston martin,vantage,2019,manual,4.7,,v8,4129000000.0,,,,,0,0,0,0,6,['aston martin vantage manual 4.7 v8 s race bred dynamism bensin mt 2019']
audi,a4,2007,automatic,,0,,80000000.0,,,,,0,0,0,0,2,"['audi a4 automatic 2.0 bensin at 2007', 'audi a4 automatic 2.0 s line bensin at 2007']"
audi,a4,2012,automatic,,0,,169000000.0,,,,,0,0,0,0,10,['audi a4 automatic 2.0 s line bensin at 2012']
audi,a4,2007,automatic,,0,sedan,90000000.0,,,,,0,0,0,0,1,['audi a4 automatic 2.0 sedan bensin at 2007']
audi,a4,2019,automatic,,0,"quattro, tfsi",130000000.0,,,,,0,0,0,0,1,['audi a4 automatic 2.0 tfsi quattro bensin at 2019']
audi,a4,2012,automatic,,,,150000000.0,,,,,0,0,0,0,1,['audi a4 automatic 1.6 bensin at 2012']
audi,a4,2009,automatic,,,,105000000.0,,,,,0,0,0,0,1,['audi a4 automatic 1.8 bensin at 2009']
