Brand,Model,Year,Transmission,CC,Type,ibid_new,ibid_hp,ibid_rv,price_curr
AUDI,A4,2012,AUTOMATIC,1.8,,,,,87000000.0
AUDI,A4,2012,AUTOMATIC,1.8,,,,,90000000.0
AUDI,A6,2012,AUTOMATIC,2.8,FSI,,,,108000000.0
AUDI,A8,2012,AUTOMATIC,3.0,L,,,,180500000.0
AUDI,Q3,2015,AUTOMATIC,1.4,TFSI,,,,116000000.0
AUDI,RS,2022,AUTOMATIC,2.5,3,,,,760000000.0
BMW,320I,2016,AUTOMATIC,2.0,,,,,224000000.0
BMW,320I,2020,AUTOMATIC,2.0,CKD,,,,413000000.0
BMW,320I,2022,AUTOMATIC,2.0,CKD,,,,486000000.0
BMW,520I,2022,AUTOMATIC,2.0,G30,,,,577000000.0
BMW,530I,2019,AUTOMATIC,2.0,CKD,,,,425000000.0
BMW,730,2018,AUTOMATIC,2.0,LI,,,,360000000.0
BMW,X1,2013,AUTOMATIC,2.0,SDRIVE,,,,105000000.0
BMW,X1,2019,AUTOMATIC,1.5,SDRIVE,,,,217000000.0
BMW,X1,2021,AUTOMATIC,1.5,SDRIVE,,,,357000000.0
BMW,X1,2021,AUTOMATIC,1.5,SDRIVE,,,,323000000.0
BMW,X1,2021,AUTOMATIC,1.5,SDRIVE,,,,331500000.0
BMW,X3,2009,AUTOMATIC,2.5,XDRIVE,,,,51500000.0
BMW,X3,2025,AUTOMATIC,2.0,XDRIVE,,,,1156000000.0
BMW,X5,2012,AUTOMATIC,3.0,XDRIVE,,,,90500000.0
BMW,X5,2015,AUTOMATIC,3.0,XDRIVE,,,,205000000.0
BMW,X5,2018,AUTOMATIC,3.0,XDRIVE,,,,340000000.0
BYD,,2025,,0.0,,,,,238000000.0
BYD,ATTO 3,2024,AUTOMATIC,0.0,SUPERIOR EXTENDED RANGE,,,,311000000.0
BYD,M6,2024,AUTOMATIC,0.2,SUPERIOR CAPTAIN SEAT,,,,228000000.0
BYD,M6,2025,AUTOMATIC,0.0,STANDARD BEV,,,,267500000.0
BYD,M6,2025,AUTOMATIC,0.0,SUPERIOR CAPTAIN SEAT,,,,302000000.0
BYD,SEAL,2024,AUTOMATIC,0.0,PREMIUM EXTENDED RANGE,,,,457500000.0
BYD,SEAL,2024,AUTOMATIC,0.0,PREMIUM EXTENDED RANGE,,,,451000000.0
BYD,SEAL,2024,AUTOMATIC,0.0,PREMIUM EXTENDED RANGE,,,,376000000.0
BYD,SEALION 7,2025,AUTOMATIC,0.0,PREMIUM,,,,497500000.0
CHERY,,2025,AUTOMATIC,1.5,0,,,,200000000.0
CHERY,J6,2025,AUTOMATIC,0.0,IWD,,,,428000000.0
CHERY,OMODA,2023,AUTOMATIC,1.5,5 RZ,,,,169000000.0
CHERY,OMODA,2023,AUTOMATIC,1.5,5 Z,,,,215500000.0
CHERY,OMODA,2023,AUTOMATIC,1.5,5 Z,,,,206000000.0
CHERY,OMODA,2023,AUTOMATIC,1.5,5 Z,,,,193000000.0
CHERY,OMODA,2024,AUTOMATIC,0.0,E5,,,,230000000.0
CHERY,OMODA,2024,AUTOMATIC,0.0,E5,,,,252500000.0
CHERY,TIGGO 5X,2024,AUTOMATIC,1.5,CLASSIC,,,,152000000.0
CHERY,TIGGO 8,2025,AUTOMATIC,1.6,PREMIUM,,,,268500000.0
CHERY,TIGGO 8,2025,AUTOMATIC,1.6,PREMIUM,,,,269000000.0
CHERY,TIGGO CROSS,2025,AUTOMATIC,1.5,PREMIUM,,,,196000000.0
CHEVROLET,,2010,AUTOMATIC,1.8,CRUZE,,,,57000000.0
CHEVROLET,,2010,AUTOMATIC,1.8,CRUZE,,,,48500000.0
CHEVROLET,,2017,MANUAL,2.5,COLORADO LT,,,,150000000.0
CHEVROLET,CAPTIVA,2013,AUTOMATIC,2.0,,,,,82000000.0
CHEVROLET,CAPTIVA,2013,AUTOMATIC,2.4,,,,,56000000.0
CHEVROLET,CAPTIVA,2014,AUTOMATIC,2.0,,,,,85000000.0
CHEVROLET,SPIN,2013,MANUAL,1.2,LTZ,,,,53500000.0
CHEVROLET,SPIN,2014,AUTOMATIC,1.5,LTZ,,,,66500000.0
CHEVROLET,SPIN,2015,MANUAL,1.2,LTZ,,,,42000000.0
CHEVROLET,TRAILBLAZER,2017,AUTOMATIC,2.5,,,,,174500000.0
CHEVROLET,TRAILBLAZER,2017,AUTOMATIC,2.5,,,,,181000000.0
CHEVROLET,TRAILBLAZER,2017,AUTOMATIC,2.5,,,,,159500000.0
CHEVROLET,TRAILBLAZER,2018,AUTOMATIC,2.5,,,,,200000000.0
CHEVROLET,TRAX,2016,AUTOMATIC,1.4,LTZ,,,,91500000.0
CHEVROLET,TRAX,2016,AUTOMATIC,1.4,LTZ,,,,77000000.0
CHEVROLET,TRAX,2016,AUTOMATIC,1.4,LTZ,,,,74000000.0
CHEVROLET,TRAX,2016,AUTOMATIC,1.4,LTZ,,,,62500000.0
CHEVROLET,TRAX,2016,AUTOMATIC,1.4,LTZ,,,,66000000.0
CHEVROLET,TRAX,2017,AUTOMATIC,1.4,LTZ,,,,90500000.0
CHEVROLET,TRAX,2018,AUTOMATIC,1.4,LTZ,,,,94000000.0
DAIHATSU,AYLA,2013,AUTOMATIC,1.0,X,,,,73000000.0
DAIHATSU,AYLA,2013,AUTOMATIC,1.0,X,,,,67500000.0
DAIHATSU,AYLA,2014,AUTOMATIC,1.0,M,,,,62000000.0
DAIHATSU,AYLA,2014,AUTOMATIC,1.0,X,,,,71500000.0
DAIHATSU,AYLA,2014,AUTOMATIC,1.0,X,,,,58000000.0
DAIHATSU,AYLA,2014,AUTOMATIC,1.0,X,,,,76000000.0
DAIHATSU,AYLA,2014,MANUAL,1.0,M,,,,60000000.0
DAIHATSU,AYLA,2014,MANUAL,1.0,X,,,,65000000.0
DAIHATSU,AYLA,2014,MANUAL,1.0,X,,,,58000000.0
DAIHATSU,AYLA,2015,AUTOMATIC,1.0,X,,,,73500000.0
DAIHATSU,AYLA,2015,AUTOMATIC,1.0,X,,,,74000000.0
DAIHATSU,AYLA,2015,AUTOMATIC,1.0,X,,,,68000000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,71500000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,63500000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,60000000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,69000000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,61500000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,65500000.0
DAIHATSU,AYLA,2015,MANUAL,1.0,X,,,,60000000.0
DAIHATSU,AYLA,2016,AUTOMATIC,1.0,X,,,,83000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,M,,,,75500000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,M,,,,62500000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,M,,,,67000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,62000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,68000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,71000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,70500000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,76000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,62000000.0
DAIHATSU,AYLA,2016,MANUAL,1.0,X,,,,72000000.0
DAIHATSU,AYLA,2017,AUTOMATIC,1.0,M,118.0,64.5,54.66,
DAIHATSU,AYLA,2017,AUTOMATIC,1.0,X,125.0,68.5,54.8,78000000.0
DAIHATSU,AYLA,2017,AUTOMATIC,1.2,R,142.0,84.5,59.51,
DAIHATSU,AYLA,2017,AUTOMATIC,1.2,X,135.0,79.5,58.89,86500000.0
DAIHATSU,AYLA,2017,MANUAL,1.0,D,92.0,55.5,60.33,
DAIHATSU,AYLA,2017,MANUAL,1.0,M,109.0,54.0,49.54,50000000.0
DAIHATSU,AYLA,2017,MANUAL,1.0,X,116.0,62.0,53.45,75500000.0
DAIHATSU,AYLA,2017,MANUAL,1.0,X,116.0,62.0,53.45,76000000.0
DAIHATSU,AYLA,2017,MANUAL,1.0,X,116.0,62.0,53.45,65000000.0
DAIHATSU,AYLA,2017,MANUAL,1.0,X,116.0,62.0,53.45,61500000.0
DAIHATSU,AYLA,2017,MANUAL,1.2,R,132.0,71.5,54.17,100000000.0
DAIHATSU,AYLA,2017,MANUAL,1.2,R,132.0,71.5,54.17,86000000.0
DAIHATSU,AYLA,2017,MANUAL,1.2,R,132.0,71.5,54.17,90000000.0
DAIHATSU,AYLA,2017,MANUAL,1.2,X,125.0,63.0,50.4,82000000.0
DAIHATSU,AYLA,2017,MANUAL,1.2,X,125.0,63.0,50.4,91000000.0
DAIHATSU,AYLA,2018,AUTOMATIC,1.0,M,121.0,67.5,55.79,80000000.0
DAIHATSU,AYLA,2018,AUTOMATIC,1.0,X,128.0,77.0,60.16,80000000.0
DAIHATSU,AYLA,2018,AUTOMATIC,1.2,R,145.0,89.0,61.38,67000000.0
DAIHATSU,AYLA,2018,AUTOMATIC,1.2,X,138.0,84.5,61.23,35000000.0
DAIHATSU,AYLA,2018,MANUAL,1.0,D,95.0,61.5,64.74,53500000.0
DAIHATSU,AYLA,2018,MANUAL,1.0,M,112.0,61.5,54.91,71000000.0
DAIHATSU,AYLA,2018,MANUAL,1.0,X,119.0,66.5,55.88,68000000.0
DAIHATSU,AYLA,2018,MANUAL,1.0,X,119.0,66.5,55.88,63500000.0
DAIHATSU,AYLA,2018,MANUAL,1.2,R,135.0,80.5,59.63,91500000.0
DAIHATSU,AYLA,2018,MANUAL,1.2,R,135.0,80.5,59.63,96500000.0
DAIHATSU,AYLA,2018,MANUAL,1.2,R,135.0,80.5,59.63,94000000.0
DAIHATSU,AYLA,2018,MANUAL,1.2,X,128.0,73.0,57.03,
DAIHATSU,AYLA,2019,AUTOMATIC,1.0,M,123.0,71.5,58.13,
DAIHATSU,AYLA,2019,AUTOMATIC,1.0,X,131.0,79.5,60.69,65000000.0
DAIHATSU,AYLA,2019,AUTOMATIC,1.2,R,147.0,96.5,65.65,91000000.0
DAIHATSU,AYLA,2019,AUTOMATIC,1.2,X,140.0,92.5,66.07,
DAIHATSU,AYLA,2019,MANUAL,1.0,D,98.0,63.0,64.29,60000000.0
DAIHATSU,AYLA,2019,MANUAL,1.0,M,114.0,67.5,59.21,60000000.0
DAIHATSU,AYLA,2019,MANUAL,1.0,M,114.0,67.5,59.21,73500000.0
DAIHATSU,AYLA,2019,MANUAL,1.0,X,122.0,70.0,57.38,75500000.0
DAIHATSU,AYLA,2019,MANUAL,1.0,X,122.0,70.0,57.38,76000000.0
DAIHATSU,AYLA,2019,MANUAL,1.0,X,122.0,70.0,57.38,79000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,95000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,94000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,99750000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,87500000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,95000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,R,137.0,84.0,61.31,92000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,X,130.0,80.0,61.54,89000000.0
DAIHATSU,AYLA,2019,MANUAL,1.2,X,130.0,80.0,61.54,93000000.0
DAIHATSU,AYLA,2020,AUTOMATIC,1.0,M,127.0,77.5,61.02,
DAIHATSU,AYLA,2020,AUTOMATIC,1.0,X,134.0,84.5,63.06,
DAIHATSU,AYLA,2020,AUTOMATIC,1.2,R,155.0,108.5,70.0,104000000.0
DAIHATSU,AYLA,2020,AUTOMATIC,1.2,R,155.0,108.5,70.0,112000000.0
DAIHATSU,AYLA,2020,AUTOMATIC,1.2,X,146.0,96.0,65.75,102500000.0
DAIHATSU,AYLA,2020,MANUAL,1.0,D,101.0,64.0,63.37,
DAIHATSU,AYLA,2020,MANUAL,1.0,M,118.0,69.5,58.9,80000000.0
DAIHATSU,AYLA,2020,MANUAL,1.0,X,124.0,75.0,60.48,88500000.0
DAIHATSU,AYLA,2020,MANUAL,1.0,X,124.0,75.0,60.48,77000000.0
DAIHATSU,AYLA,2020,MANUAL,1.0,X,124.0,75.0,60.48,77000000.0
DAIHATSU,AYLA,2020,MANUAL,1.0,X,124.0,75.0,60.48,80500000.0
DAIHATSU,AYLA,2020,MANUAL,1.2,R,143.0,89.5,62.59,
DAIHATSU,AYLA,2020,MANUAL,1.2,X,136.0,82.0,60.29,97500000.0
DAIHATSU,AYLA,2021,AUTOMATIC,1.0,M,126.0,84.0,66.67,
DAIHATSU,AYLA,2021,AUTOMATIC,1.0,X,136.0,86.0,63.24,95000000.0
DAIHATSU,AYLA,2021,AUTOMATIC,1.0,X,136.0,86.0,63.24,93000000.0
DAIHATSU,AYLA,2021,AUTOMATIC,1.0,X,136.0,86.0,63.24,102000000.0
DAIHATSU,AYLA,2021,AUTOMATIC,1.2,R,157.0,110.5,70.38,
DAIHATSU,AYLA,2021,AUTOMATIC,1.2,X,148.0,99.0,66.89,109000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,D,110.0,65.5,59.55,73500000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,D,110.0,65.5,59.55,75000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,D,110.0,65.5,59.55,69000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,D,110.0,65.5,59.55,68000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,D,110.0,65.5,59.55,73000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,M,117.0,73.0,62.39,
DAIHATSU,AYLA,2021,MANUAL,1.0,X,126.0,77.5,61.51,75000000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,X,126.0,77.5,61.51,78500000.0
DAIHATSU,AYLA,2021,MANUAL,1.0,X,126.0,77.5,61.51,72500000.0
DAIHATSU,AYLA,2021,MANUAL,1.2,R,144.0,92.0,63.89,80000000.0
DAIHATSU,AYLA,2021,MANUAL,1.2,R,144.0,92.0,63.89,109500000.0
DAIHATSU,AYLA,2021,MANUAL,1.2,X,138.0,89.5,64.86,92500000.0
DAIHATSU,AYLA,2021,MANUAL,1.2,X,138.0,89.5,64.86,90500000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.0,X,142.0,92.5,65.14,100500000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.0,X,142.0,92.5,65.14,95250000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.0,X,142.0,92.5,65.14,86000000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.2,R,163.0,112.5,69.02,121000000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.2,R,163.0,112.5,69.02,120500000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.2,R,163.0,112.5,69.02,114000000.0
DAIHATSU,AYLA,2022,AUTOMATIC,1.2,X,155.0,102.0,65.81,125000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,D,116.0,72.0,62.07,81000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,D,116.0,72.0,62.07,80000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,D,116.0,72.0,62.07,71000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,D,116.0,72.0,62.07,75000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,D,116.0,72.0,62.07,70500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,M,122.0,79.0,64.75,
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,91500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,94500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,88000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,85500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,80500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,93500000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,81000000.0
DAIHATSU,AYLA,2022,MANUAL,1.0,X,133.0,82.0,61.65,90500000.0
DAIHATSU,AYLA,2022,MANUAL,1.2,R,152.0,101.0,66.45,102500000.0
DAIHATSU,AYLA,2022,MANUAL,1.2,R,152.0,101.0,66.45,101000000.0
DAIHATSU,AYLA,2022,MANUAL,1.2,R,152.0,101.0,66.45,95000000.0
DAIHATSU,AYLA,2022,MANUAL,1.2,X,145.0,91.0,62.76,95000000.0
DAIHATSU,AYLA,2022,MANUAL,1.2,X,145.0,91.0,62.76,106500000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,110500000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,124000000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,111500000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,93000000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,116000000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.0,X,159.0,115.5,72.64,104500000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.2,R,184.0,118.0,64.13,121000000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.2,R,184.0,118.0,64.13,125000000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.2,R,184.0,118.0,64.13,108500000.0
DAIHATSU,AYLA,2023,AUTOMATIC,1.2,X,167.0,113.0,67.66,93000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,D,119.0,74.5,62.61,74000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,92000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,98500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,109000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,96000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,91750000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,96500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,80500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,90000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,M,134.0,92.0,68.66,91000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,104500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,95500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,107500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,98500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,107500000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,107000000.0
DAIHATSU,AYLA,2023,MANUAL,1.0,X,147.0,97.0,65.99,100000000.0
DAIHATSU,AYLA,2023,MANUAL,1.2,R,164.0,108.5,66.16,106500000.0
DAIHATSU,AYLA,2023,MANUAL,1.2,R,164.0,108.5,66.16,109500000.0
DAIHATSU,AYLA,2023,MANUAL,1.2,R,164.0,108.5,66.16,99500000.0
DAIHATSU,AYLA,2023,MANUAL,1.2,X,148.0,94.5,63.85,
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,127000000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,128500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,118000000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,125000000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,123500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,122750000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.0,X,169.0,119.0,70.41,117000000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,135500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,132000000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,129500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,122500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,127500000.0
DAIHATSU,AYLA,2024,AUTOMATIC,1.2,R,186.0,130.0,69.89,131000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,103000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,97000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,99000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,102500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,98500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,100000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,91200000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,90000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,M,136.0,97.0,71.32,102500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,110000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,123000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,107500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,112500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,120000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,105000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,116000000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,106250000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,122500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,107500000.0
DAIHATSU,AYLA,2024,MANUAL,1.0,X,150.0,101.5,67.67,105000000.0
DAIHATSU,AYLA,2024,MANUAL,1.2,R,166.0,115.0,69.28,132500000.0
DAIHATSU,AYLA,2024,MANUAL,1.2,R,166.0,115.0,69.28,125000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,127000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,120000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,125000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,118500000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,125000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.0,X,,,,120000000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.2,R,,,,145500000.0
DAIHATSU,AYLA,2025,AUTOMATIC,1.2,R,,,,142000000.0
DAIHATSU,AYLA,2025,MANUAL,1.0,M,,,,106500000.0
